t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.08105305308532021,0.07659714268455736,-0.3499479533633362,0.00010225095925725289,0.22383407328270988,-0.3,0.0,0.16,-0.349947953384862,0.00010225094092868374,0.22383407328269492,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.035536941824033,-6.268913060153579,-0.9627064734401508,-4.3287439289567146e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.08105267794449678,0.07659681062226245,-0.3495483717844277,0.00010271294939866265,0.2233234006964482,-0.30000025599978153,0.00015999972693347316,0.16,-0.3499478481773024,0.00010228011516345088,0.2238339353799277,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,6.6991474189788666e-15,9.265671787551412e-13,-5.55877843417214e-12,2.8290752693065866e-11,-1.4054888426810893e-14,1.1517567012583367e-14,-0.32700039506918316,-1.4200012489569533,1.2360028681147093,-1.3860016260031718,-1.5709999982371885,2.738000310808113,-9.876729579051777e-05,-0.00031223923837145605,0.0007170286773388985,-0.0004065007929646547,4.407028380756028e-07,7.770202827477581e-05,0.00024911823387258205,-8.03895711168779,-6.258987466949872,-0.9606479900348177,-0.00022011290845766802,7.905839838740428e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.08105168285838049,0.07659529178804679,-0.34914880249346686,0.00010573490895667509,0.22281272811018651,-0.30000102399650475,0.0003199978154711406,0.16,-0.34994736705598856,0.00010241423791105276,0.2238333045247277,-0.32700030976601996,-1.4200009792724007,1.2360022487612674,-1.386001274961321,-1.5709999985570204,2.7380002436417588,-0.0001239148851122085,-0.00039173299786920626,0.0008995470029063089,-0.0005100312537596091,5.93441566235261e-07,9.744822063940404e-05,-0.3270015661552349,-1.4200049380293707,1.2360113412599005,-1.3860064303338961,-1.5709999930265712,2.738001224988946,-0.00029277151293718203,-0.0009222681043245093,0.002118286297789607,-0.0012010826810775587,1.3026542910014708e-06,0.00022854520819603135,0.00040372465135864134,-8.0421095260507,-6.24965986628296,-0.9587149598884341,-0.00038792214116335235,1.5328516308795735e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.0810496607957008,0.07659180902887647,-0.34874925777819143,0.00011131675928869419,0.22230205552392485,-0.3000023039823053,0.0004799926272339738,0.16,-0.3499462640432367,0.00010272404205743557,0.22383185753951462,-0.3270013994312775,-1.42000441371226,1.236010136514027,-1.3860057478362704,-1.570999993297407,2.738001094925048,-0.00036155039608540463,-0.0011388295088998245,0.002615537440254126,-0.001483312467162674,1.8112396328227662e-06,0.00028201113684493836,-0.3270038801589455,-1.4200122013542766,1.2360280269315342,-1.386015892642021,-1.570999982758106,2.73800301678438,-0.0005785009276476811,-0.001815831226486946,0.004171417908447509,-0.002365577031215697,2.5671162814862914e-06,0.00044794885859426186,0.000469748923777433,-8.044997341981274,-6.240883998137478,-0.9568973295262537,-0.0005474650221163093,2.2301407101229177e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.0810462384777918,0.07658565164071669,-0.3483497499259199,0.00011945836932506873,0.22179138293766318,-0.30000409594407623,0.0006399825238764985,0.16,-0.34994431417066557,0.00010327608140234312,0.22382929829689766,-0.32700370247181115,-1.4200116476785327,1.236026753090134,-1.3860151724634056,-1.570999981780687,2.738002879982597,-0.0007043588880224439,-0.002210492015086324,0.005077665112128932,-0.0028802576957036763,3.658749571504035e-06,0.0005447433763866564,-0.3270076901073471,-1.420024117115636,1.2360554056536617,-1.3860314212835525,-1.5709999658952358,2.7380059421676246,-0.0009524871003990798,-0.0029789403398359357,0.0068446805318376856,-0.0038821603828832684,4.215717554918225e-06,0.0007313458110851905,0.00045266390736175253,-8.04762226994525,-6.232621201615999,-0.9551866709620571,-0.000699357277650468,2.885232556807472e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.08104107168806814,0.07657616675230602,-0.3479502912233414,0.00013015955557110558,0.22128071035140146,-0.3000063998634678,0.0007999658671035708,0.16,-0.34994131058301275,0.00010413338709361657,0.2238253539664406,-0.32700762135432626,-1.420023913158865,1.2360549319354146,-1.386031158321588,-1.5709999615822565,2.7380058918554573,-0.0011450640692046213,-0.003580246519001654,0.008225551856599274,-0.004666866783596059,6.124012174637657e-06,0.0008777766378468305,-0.3270133353978516,-1.420041708815425,1.2360958338916572,-1.3860543549637618,-1.5709999409742594,2.7380102389992107,-0.0014113226261337495,-0.004397924947194378,0.010107059498865822,-0.005733420052352786,6.23024407436474e-06,0.001074207896491132,0.00035755037787873535,-8.04998499313796,-6.2248386669619435,-0.9535758109397072,-0.0008441120496659278,3.5004862177782875e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.08103384159454698,0.07656275258730966,-0.3475508939563067,0.00014342008210988815,0.2207700377651398,-0.30000921571688793,0.0009599410186871542,0.16,-0.3499370622646043,0.00010535596919130452,0.22381977207003326,-0.3270135319127443,-1.4200423447007209,1.2360972843924045,-1.386055189824374,-1.570999930348842,2.7380103942166905,-0.0016773776000898431,-0.005224997966736376,0.012006576976552002,-0.006813507090673864,9.183601903676404e-06,0.001274085707943811,-0.3270211420927122,-1.4200659466810897,1.236151547279,-1.3860859645575678,-1.570999906604159,2.738016127261073,-0.001951673715155486,-0.006059466416213198,0.0139283468356502,-0.007902398451496985,8.592525143527528e-06,0.0014720654655026374,0.00018914920031340904,-8.052085482298212,-6.2175081155643115,-0.9520585507399214,-0.000982163676260503,4.077939260863344e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.08102425184001806,0.07654485314368863,-0.3471515704096174,0.0001592396606059,0.22025936517887812,-0.3000125434755023,0.0011199063404830943,0.16,-0.34993139223761915,0.00010700120166492265,0.2238123181500197,-0.327021786764091,-1.4200679911368712,1.2361562266174682,-1.3860886414797304,-1.5709998858346859,2.7380166243039836,-0.0022957848393022123,-0.007124314601816669,0.016374233055120535,-0.009293990267263554,1.2806756971497863e-05,0.0017273124524649097,-0.3270314232482922,-1.4200977491601112,1.2362246640446726,-1.386127455043782,-1.5709998614666225,2.738023809350478,-0.0025702888949970604,-0.007950619755403019,0.01827919141814463,-0.01037262155357718,1.1284384088953782e-05,0.0019205223512659955,-4.80970557283144e-05,-8.053923231478876,-6.2106048029308605,-0.9506294543411459,-0.0011138856214475915,4.61938350805055e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.08101202621501206,0.07652195394351385,-0.3467523328668176,0.0001776179503094539,0.21974869259261642,-0.30001638310523465,0.0012798601944478938,0.16,-0.3499241361185703,0.00010912411962131317,0.22380277390258818,-0.32703271799756894,-1.4201018248798158,1.2362340009131547,-1.386132789913296,-1.5709998259241478,2.73802479525712,-0.0029953826463663584,-0.009259884825540974,0.021286878362575198,-0.012084871407634694,1.695828035848202e-05,0.002231633386798891,-0.32704447926751046,-1.420137984465152,1.2363171885574638,-1.386179967506152,-1.5709998043160964,2.7380334704198264,-0.0032640048045678655,-0.010058826260179992,0.02313112819779205,-0.013128115592466004,1.4287631526486803e-05,0.0024152673370869027,-0.00035001107507993403,-8.055497434113006,-6.204106765182764,-0.9492836881339977,-0.0012396040096821614,5.1264219083535956e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.0809969067743084,0.0764935785920584,-0.3463531936099832,0.00019855455806192567,0.21923802000635476,-0.30002073456676726,0.001439800942655486,0.16,-0.3499151409474864,0.00011177765041549625,0.2237909356653195,-0.32704663931287853,-1.4201447493689003,1.2363326928177605,-1.3861888235077933,-1.570999748644793,2.738035098007554,-0.0037717563813416356,-0.011615104084526831,0.02670678814791768,-0.015164915868972173,2.1600563826055692e-05,0.0027816599942809836,-0.3270605982667579,-1.4201874721428602,1.2364310149254085,-1.3862445811664237,-1.5709997339797532,2.7380452787515583,-0.00402974981185319,-0.012371919427058854,0.028456591986219006,-0.01615341506794952,1.758408581174163e-05,0.002952082933021564,-0.0007126545566309263,-8.056807114032416,-6.197994249035272,-0.9480168994950555,-0.0013596078568962704,5.6005112279621286e-05,28.0,28.0,14.0,6.0,6.0,6.0
